"","X10619_tumor.printed_rna"
"AC005614.2",0
"AC005614.3",0
"AC005614.4",0
"AC005616.1",0
"AC005618.1",0
"AC005618.2",27
"AC005618.3",205
"AC005622.1",0
"AC005625.1",0
"AC005632.1",0
"AC005632.2",0
"AC005632.3",0
"AC005632.4",0
"AC005670.1",0
"AC005670.2",0
"AC005674.1",10
"AC005674.2",0
"AC005682.1",3
"AC005691.1",0
"AC005692.1",0
"AC005692.2",0
"AC005692.3",0
"AC005695.1",61
"AC005695.2",0
"AC005695.3",304
"AC005696.1",0
"AC005696.2",225
"AC005696.3",612
"AC005696.4",0
"AC005697.1",0
"AC005697.2",205
"AC005699.1",0
"AC005702.1",0
"AC005702.2",0
"AC005702.3",0
"AC005702.4",0
"AC005703.1",0
"AC005703.2",0
"AC005703.3",0
"AC005703.4",0
"AC005703.5",0
"AC005703.6",25
"AC005722.1",0
"AC005722.2",0
"AC005722.3",3
"AC005725.1",0
"AC005726.1",11
"AC005726.2",2453
"AC005726.3",5
"AC005726.4",5525
"AC005726.5",21
"AC005730.1",0
"AC005730.2",0
"AC005730.3",0
"AC005736.1",0
"AC005736.2",1
"AC005740.1",1
"AC005740.2",0
"AC005740.3",104
"AC005740.4",177
"AC005741.1",0
"AC005746.1",0
"AC005746.2",44
"AC005746.3",5
"AC005753.1",0
"AC005757.1",3
"AC005758.1",0
"AC005759.1",9
"AC005771.1",0
"AC005772.1",0
"AC005774.1",0
"AC005775.1",173
"AC005776.1",0
"AC005776.2",6
"AC005777.1",0
"AC005779.1",0
"AC005779.2",0
"AC005785.1",384
"AC005785.2",0
"AC005786.1",0
"AC005786.2",0
"AC005786.3",278
"AC005786.4",0
"AC005789.1",1
"AC005790.1",0
"AC005796.1",0
"AC005798.1",0
"AC005808.1",1
"AC005821.1",0
"AC005822.1",0
"AC005823.1",0
"AC005823.2",0
"AC005828.1",1
"AC005828.2",1
"AC005828.3",1
"AC005828.4",0
"AC005828.5",0
"AC005828.6",0
"AC005828.7",1
"AC005829.1",0
"AC005829.2",0
"AC005831.1",0
"AC005832.1",2
"AC005832.2",0
"AC005832.3",0
"AC005832.4",0
"AC005833.1",0
"AC005833.2",0
"AC005837.1",0
"AC005837.2",0
"AC005837.3",100
"AC005838.1",0
"AC005838.2",0
"AC005839.1",0
"AC005840.1",1
"AC005840.2",0
"AC005840.3",0
"AC005840.4",5
"AC005841.1",500
"AC005842.1",10
"AC005845.1",0
"AC005856.1",10
"AC005858.1",0
"AC005858.2",0
"AC005858.3",0
"AC005863.1",0
"AC005865.1",0
"AC005865.2",0
"AC005868.1",0
"AC005871.1",0
"AC005871.2",0
"AC005884.1",65
"AC005884.2",1
"AC005899.1",0
"AC005899.2",0
"AC005899.3",6
"AC005899.4",0
"AC005899.5",0
"AC005899.6",0
"AC005899.7",0
"AC005899.8",178
"AC005901.1",0
"AC005906.1",0
"AC005906.2",0
"AC005906.3",0
"AC005908.1",0
"AC005908.2",0
"AC005909.1",0
"AC005911.1",0
"AC005912.1",1
"AC005912.2",0
"AC005915.1",0
"AC005920.1",2
"AC005920.2",5
"AC005920.3",4
"AC005920.4",97
"AC005921.1",0
"AC005921.2",197
"AC005921.3",0
"AC005921.4",0
"AC005943.1",0
"AC005943.2",893
"AC005944.1",2505
"AC005951.1",0
"AC005954.1",0
"AC005954.2",411
"AC005962.1",0
"AC005972.1",0
"AC005972.2",0
"AC005972.3",15
"AC005993.1",0
"AC005996.1",0
"AC005999.1",0
"AC005999.2",0
"AC006001.1",0
"AC006001.2",0
"AC006001.3",0
"AC006001.4",0
"AC006003.1",0
"AC006004.1",0
"AC006006.1",0
"AC006007.1",0
"AC006011.1",0
"AC006011.2",0
"AC006012.1",0
"AC006013.1",0
"AC006015.1",0
"AC006017.1",169
"AC006019.1",1
"AC006019.2",12
"AC006019.3",0
"AC006020.1",0
"AC006022.1",0
"AC006023.1",9
"AC006023.2",6
"AC006026.1",0
"AC006026.2",0
"AC006026.3",17
"AC006027.1",34
"AC006028.1",4
"AC006030.1",12
"AC006033.1",2
"AC006033.2",2
"AC006037.1",0
"AC006037.2",0
"AC006041.1",0
"AC006042.1",35
"AC006042.2",31
"AC006042.3",0
"AC006042.4",6
"AC006043.1",0
"AC006055.1",0
"AC006058.1",0
"AC006058.2",0
"AC006058.3",0
"AC006058.4",0
"AC006059.1",101
"AC006059.2",0
"AC006059.3",0
"AC006063.1",0
"AC006063.2",0
"AC006064.1",261
"AC006064.2",1491
"AC006064.3",0
"AC006064.4",19851
"AC006064.5",0
"AC006064.6",0
"AC006065.1",0
"AC006065.2",0
"AC006065.3",0
"AC006065.4",0
"AC006065.5",0
"AC006065.6",0
"AC006076.1",0
"AC006077.1",0
"AC006077.2",0
"AC006111.1",32
"AC006111.2",5
"AC006111.3",593
"AC006115.1",0
"AC006115.2",0
"AC006115.3",0
"AC006116.1",1
"AC006116.10",11
"AC006116.2",0
"AC006116.3",0
"AC006116.4",1
"AC006116.5",0
"AC006116.6",0
"AC006116.7",46
"AC006116.8",8
"AC006116.9",0
"AC006122.1",12
"AC006128.1",1966
"AC006130.1",3
"AC006130.2",0
"AC006133.1",0
"AC006141.1",0
"AC006144.1",0
"AC006145.1",0
"AC006146.1",22
"AC006148.1",0
"AC006148.2",0
"AC006150.1",0
"AC006153.1",0
"AC006157.1",0
"AC006158.1",0
"AC006159.1",2
"AC006159.2",0
"AC006160.1",791
"AC006160.2",0
"AC006195.1",0
"AC006197.1",1
"AC006199.1",0
"AC006205.1",8
"AC006205.2",0
"AC006206.1",0
"AC006206.2",0
"AC006207.1",0
"AC006210.1",0
"AC006210.2",0
"AC006213.1",30
"AC006213.2",0
"AC006213.3",10
"AC006213.4",0
"AC006213.5",0
"AC006213.6",0
"AC006236.1",0
"AC006237.1",0
"AC006238.1",0
"AC006238.2",1
"AC006249.1",0
"AC006252.1",0
"AC006254.1",23
"AC006254.2",129
"AC006254.3",2
"AC006262.1",0
"AC006262.2",0
"AC006262.3",0
"AC006262.4",0
"AC006270.1",1
"AC006270.2",0
"AC006270.3",0
"AC006272.1",1
"AC006272.2",0
"AC006273.1",0
"AC006277.1",25
"AC006288.1",0
"AC006296.1",0
"AC006296.2",0
"AC006299.1",2
"AC006305.1",0
"AC006305.2",0
"AC006305.3",0
"AC006326.1",0
"AC006328.1",0
"AC006328.2",0
"AC006329.1",63
"AC006329.2",24
"AC006330.1",0
"AC006333.1",0
"AC006333.2",63
"AC006335.1",0
"AC006335.2",0
"AC006335.3",0
"AC006338.1",0
"AC006338.2",0
"AC006349.1",0
"AC006355.1",0
"AC006355.2",2
"AC006357.1",0
"AC006359.1",0
"AC006359.2",0
"AC006359.3",0
"AC006359.4",4
"AC006362.1",0
"AC006363.1",0
"AC006366.1",0
"AC006369.1",47
"AC006369.2",0
"AC006372.1",0
"AC006372.2",0
"AC006372.3",0
"AC006372.4",0
"AC006378.1",19
"AC006378.2",0
"AC006380.1",0
"AC006386.1",0
"AC006386.2",0
"AC006387.1",0
"AC006390.1",0
"AC006427.1",0
"AC006435.1",177
"AC006435.2",211
"AC006435.3",139
"AC006435.4",0
"AC006435.5",0
"AC006441.1",5
"AC006441.2",0
"AC006441.3",3168
"AC006441.4",0
"AC006441.5",0
"AC006445.1",0
"AC006445.2",1
"AC006449.1",0
"AC006449.10",0
"AC006449.2",0
"AC006449.3",0
"AC006449.4",0
"AC006449.5",0
"AC006449.6",0
"AC006449.7",0
"AC006449.8",0
"AC006449.9",0
"AC006450.1",0
"AC006450.2",2
"AC006450.3",0
"AC006452.1",1
"AC006453.1",0
"AC006453.2",0
"AC006453.3",0
